year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Italy,Dorothea WIERER,BRONZE,https://olympics.com/en/athletes/dorothea-wierer
2022,Sweden,Elvira OEBERG,SILVER,https://olympics.com/en/athletes/elvira-oeberg
2022,Sweden,Martin PONSILUOMA,SILVER,https://olympics.com/en/athletes/martin-ponsiluoma
2022,Norway,Johannes Thingnes BOE,GOLD,https://olympics.com/en/athletes/johannes-thingnes-boe
2022,Norway,Vetle Sjaastad CHRISTIANSEN,BRONZE,https://olympics.com/en/athletes/vetle-sjaastad-christiansen
2022,Belarus,Anton SMOLSKI,SILVER,https://olympics.com/en/athletes/smolski
2022,Norway,Johannes Thingnes BOE,BRONZE,https://olympics.com/en/athletes/johannes-thingnes-boe
2022,France,Quentin FILLON MAILLET,GOLD,https://olympics.com/en/athletes/quentin-fillon-maillet
2022,Norway,Marte Olsbu ROEISELAND,BRONZE,https://olympics.com/en/athletes/marte-olsbu-roeiseland
2022,France,Anais CHEVALIER,SILVER,https://olympics.com/en/athletes/anais-chevalier
2022,Germany,Denise HERRMANN,GOLD,https://olympics.com/en/athletes/denise-herrmann
2022,Norway,Sebastian FOSS-SOLEVAAG,BRONZE,https://olympics.com/en/athletes/foss-solevaag
2022,France,Clement NOEL,GOLD,https://olympics.com/en/athletes/noel
2022,Austria,Johannes STROLZ,SILVER,https://olympics.com/en/athletes/strolz
2022,Switzerland,Beat FEUZ,GOLD,https://olympics.com/en/athletes/beat-feuz
2022,Austria,Matthias MAYER,BRONZE,https://olympics.com/en/athletes/matthias-mayer
2022,France,Johan CLAREY,SILVER,https://olympics.com/en/athletes/johan-clarey
2022,Switzerland,Lara GUT - BEHRAMI,GOLD,https://olympics.com/en/athletes/lara-gut
2022,Austria,Mirjam PUCHNER,SILVER,https://olympics.com/en/athletes/puchner
2022,Switzerland,Michelle GISIN,BRONZE,https://olympics.com/en/athletes/michelle-gisin
2022,United States of America,Ryan COCHRAN-SIEGLE,SILVER,https://olympics.com/en/athletes/cochran-siegle
2022,Norway,Aleksander Aamodt KILDE,BRONZE,https://olympics.com/en/athletes/aleksander-aamodt-kilde
2022,Austria,Matthias MAYER,GOLD,https://olympics.com/en/athletes/matthias-mayer
2022,Italy,Nadia DELAGO,BRONZE,https://olympics.com/en/athletes/nadia-delago
2022,Italy,Sofia GOGGIA,SILVER,https://olympics.com/en/athletes/sofia-goggia
2022,Switzerland,Corinne SUTER,GOLD,https://olympics.com/en/athletes/suter
2022,Norway,Aleksander Aamodt KILDE,SILVER,https://olympics.com/en/athletes/aleksander-aamodt-kilde
2022,Austria,Johannes STROLZ,GOLD,https://olympics.com/en/athletes/strolz
2022,Canada,James CRAWFORD,BRONZE,https://olympics.com/en/athletes/crawford-1
2022,Switzerland,Marco ODERMATT,GOLD,https://olympics.com/en/athletes/odermatt
2022,France,Mathieu FAIVRE,BRONZE,https://olympics.com/en/athletes/mathieu-faivre
